,1KB,2KB,4KB,8KB,16KB,32KB,64KB,128KB,256KB,512KB,1024KB
fully,0.302741,0.225246,0.166681,0.130334,0.103108,0.0744876,0.0398451,0.0271651,0.0271651,0.0271651,0.0271651
1way(s),0.34904,0.273534,0.216798,0.164172,0.127217,0.0891291,0.0604583,0.0364324,0.0311933,0.0247622,0.0246952
2way(s),0.320341,0.238488,0.179841,0.143809,0.110439,0.078969,0.046723,0.0309128,0.0243118,0.0242734,0.0240956
4way(s),0.306841,0.22994,0.168346,0.133099,0.10669,0.0768369,0.0418029,0.0260445,0.0242975,0.0240956,0.0240956
8way(s),0.303847,0.226836,0.166197,0.130583,0.104708,0.0757771,0.0397673,0.0247273,0.0241939,0.0241197,0.0240956
16way(s),0.302108,0.226044,0.165518,0.129911,0.104307,0.0754804,0.0393929,0.0272178,0.0129248,0.00918161,0.00618988
32way(s),0.301716,0.224894,0.165415,0.129788,0.10383,0.0749452,0.0383626,0.0271552,0.0159273,0.0117685,0.00812092
64way(s),0.301732,0.224704,0.165172,0.129851,0.103775,0.0741454,0.037662,0.0270873,0.0199011,0.015837,0.0123029
128way(s),0.301737,0.224544,0.165086,0.129824,0.103757,0.0740131,0.037217,0.0268398,0.0247041,0.021665,0.0161757
256way(s),0.301436,0.224514,0.165168,0.129824,0.10384,0.0739577,0.0371294,0.0269935,0.026536,0.0257005,0.0254297
