,1KB,2KB,4KB,8KB,16KB,32KB,64KB,128KB,256KB,512KB,1024KB
fully,0.320478,0.33722,0.465259,0.694979,1.07552,1.48608,1.74252,2.21114,2.5573,3.22453,4.64051
1way(s),0.163973,0.151044,0.148923,0.151658,0.15433,0.152018,0.153802,0.155011,0.155474,0.157823,0.154177
2way(s),0.161168,0.160373,0.159238,0.15536,0.156071,0.152284,0.151039,0.156701,0.158229,0.156573,0.153986
4way(s),0.16456,0.161938,0.163304,0.161084,0.161555,0.158259,0.156012,0.155697,0.159515,0.155892,0.159735
8way(s),0.172111,0.17063,0.169149,0.172249,0.166828,0.166732,0.163866,0.163113,0.159211,0.161636,0.159696
16way(s),0.182589,0.182084,0.180488,0.179995,0.18109,0.176286,0.175367,0.17067,0.167638,0.168065,0.169387
32way(s),0.206988,0.208094,0.206932,0.206795,0.204057,0.202941,0.197052,0.193021,0.187751,0.18345,0.181172
64way(s),0.260092,0.255444,0.25569,0.25997,0.267219,0.265152,0.251396,0.234773,0.222797,0.218971,0.217891
128way(s),0.325006,0.323811,0.309679,0.312871,0.318437,0.316274,0.302815,0.281756,0.277301,0.265571,0.261248
256way(s),0.457571,0.469958,0.465972,0.447404,0.451065,0.437951,0.416612,0.385251,0.374703,0.367476,0.353882
